dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
MFeat_2Views,1,1000,0.5,10,0.38325,0.360307934641636,0.4036875,0.238696142811381,319,1,22,71.2109728,1.1484138,72.3593866
MFeat_2Views,1,10000,0.5,10,0.3788125,0.355599209355756,0.39825,0.233846327244416,319,1,22,5.6163664,1.1484138,6.7647802
MFeat_2Views,1,100000,0.5,10,0.3765625,0.351854457216719,0.3964375,0.236823441281682,319,1,22,5.5664306,1.1484138,6.7148444
MFeat_2Views,10,1000,0.5,10,0.4386875,0.398645759326251,0.4555625,0.271125719735985,319,1,51,11.8589498,1.1484138,13.0073636
MFeat_2Views,10,10000,0.5,10,0.4256875,0.39338518997174,0.44525,0.25650923875928,319,1,51,11.0611719,1.1484138,12.2095857
MFeat_2Views,10,100000,0.5,10,0.4465625,0.406440364036953,0.464,0.275533595632354,319,1,51,11.6732123,1.1484138,12.8216261
MFeat_2Views,100,1000,0.5,10,0.4170625,0.356425194546664,0.436125,0.321648724230872,319,1,51,10.8372722,1.1484138,11.985686
MFeat_2Views,100,10000,0.5,10,0.404,0.333734432328214,0.413,0.316456242204778,319,1,51,9.5721994,1.1484138,10.7206132
MFeat_2Views,100,100000,0.5,10,0.3975625,0.329518620489862,0.414125,0.319453114610585,319,1,51,10.9323289,1.1484138,12.0807427
MFeat_2Views,1,1000,0.5,20,0.487875,0.462989779205839,0.5058125,0.305688580828894,155,1,51,8.6975866,2.8487946,11.5463812
MFeat_2Views,1,10000,0.5,20,0.487875,0.462989779205839,0.5058125,0.305688580828894,155,1,51,8.4230611,2.8487946,11.2718557
MFeat_2Views,1,100000,0.5,20,0.487875,0.462989779205839,0.5058125,0.305688580828894,155,1,51,8.2615305,2.8487946,11.1103251
MFeat_2Views,10,1000,0.5,20,0.5396875,0.530177082499902,0.5724375,0.355906655222384,155,1,51,8.2831009,2.8487946,11.1318955
MFeat_2Views,10,10000,0.5,20,0.5396875,0.530177082499902,0.5724375,0.355906655222384,155,1,51,8.9924855,2.8487946,11.8412801
MFeat_2Views,10,100000,0.5,20,0.5396875,0.530177082499902,0.5724375,0.355906655222384,155,1,51,8.3778202,2.8487946,11.2266148
MFeat_2Views,100,1000,0.5,20,0.8515625,0.816723043573035,0.8655,0.778970113792643,155,1,51,7.4933991,2.8487946,10.3421937
