dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
Reuters-1200,1,100,0.5,8,0.355416666666667,0.187394257189886,0.375694444444444,0.269056267398656,164,3,19,46.8409138,0,46.8409138
Reuters-1200,1,1000,0.5,8,0.361944444444444,0.181780626663724,0.366666666666667,0.269496800196545,164,3,19,2.9676229,0,2.9676229
Reuters-1200,1,10000,0.5,8,0.361944444444444,0.181780626663724,0.366666666666667,0.269496800196545,164,3,19,2.8324549,0,2.8324549
Reuters-1200,10,100,0.5,8,0.397361111111111,0.242718669305447,0.422361111111111,0.302115010340019,164,3,51,7.3493854,0,7.3493854
Reuters-1200,10,1000,0.5,8,0.397361111111111,0.242718669305447,0.422361111111111,0.302115010340019,164,3,51,7.4444428,0,7.4444428
Reuters-1200,10,10000,0.5,8,0.415833333333333,0.253350543378709,0.444861111111111,0.313699328963378,164,3,51,7.497068,0,7.497068
Reuters-1200,100,100,0.5,8,0.590972222222222,0.353447664230425,0.597083333333333,0.422903597460848,164,3,28,3.7901304,0,3.7901304
Reuters-1200,100,1000,0.5,8,0.590972222222222,0.353447664230425,0.597083333333333,0.422903597460848,164,3,28,3.8051395,0,3.8051395
Reuters-1200,100,10000,0.5,8,0.590972222222222,0.353447664230425,0.597083333333333,0.422903597460848,164,3,28,3.6802424,0,3.6802424
Reuters-1200,1,100,0.5,16,0.408333333333333,0.217917025146248,0.425138888888889,0.300045907770396,106,3,27,3.7259882,0,3.7259882
Reuters-1200,1,1000,0.5,16,0.380694444444444,0.200627638096711,0.398611111111111,0.286504524724055,106,3,27,3.5845704,0,3.5845704
Reuters-1200,1,10000,0.5,16,0.367916666666667,0.196658046341811,0.381388888888889,0.289007620235392,106,3,27,3.456759,0,3.456759
Reuters-1200,10,100,0.5,16,0.447777777777778,0.272457096672311,0.465555555555556,0.335221687298134,106,3,51,6.6389532,0,6.6389532
Reuters-1200,10,1000,0.5,16,0.453333333333333,0.28686051345042,0.475,0.343943691522986,106,3,51,6.5219487,0,6.5219487
Reuters-1200,10,10000,0.5,16,0.453333333333333,0.28686051345042,0.475,0.343943691522986,106,3,51,6.4341879,0,6.4341879
Reuters-1200,100,100,0.5,16,0.514722222222222,0.269100764125515,0.5175,0.351912173628965,106,3,26,2.9951195,0,2.9951195
Reuters-1200,100,1000,0.5,16,0.514722222222222,0.269100764125515,0.5175,0.351912173628965,106,3,26,3.0371253,0,3.0371253
Reuters-1200,100,10000,0.5,16,0.514722222222222,0.269100764125515,0.5175,0.351912173628965,106,3,26,3.0184226,0,3.0184226
Reuters-1200,1,100,0.5,32,0.416666666666667,0.220518266441554,0.427916666666667,0.303205609419998,71,3,21,2.774867,6.3310423,9.1059093
Reuters-1200,1,1000,0.5,32,0.416666666666667,0.220518266441554,0.427916666666667,0.303205609419998,71,3,21,2.631722,6.3310423,8.9627643
Reuters-1200,1,10000,0.5,32,0.4275,0.22106416053761,0.438888888888889,0.303875265758942,71,3,21,2.5686732,6.3310423,8.8997155
Reuters-1200,10,100,0.5,32,0.474166666666667,0.303926945451542,0.485833333333333,0.357135597996948,71,3,23,2.7896496,6.3310423,9.1206919
Reuters-1200,10,1000,0.5,32,0.470833333333333,0.301039433555798,0.479861111111111,0.355187661060372,71,3,23,2.9236129,6.3310423,9.2546552
Reuters-1200,10,10000,0.5,32,0.470833333333333,0.301039433555798,0.479861111111111,0.355187661060372,71,3,23,3.0234067,6.3310423,9.354449
Reuters-1200,100,100,0.5,32,0.475277777777778,0.289069350058819,0.514027777777778,0.356567723247383,71,3,26,3.1287995,6.3310423,9.4598418
Reuters-1200,100,1000,0.5,32,0.483333333333333,0.291588660966045,0.521111111111111,0.357998119200648,71,3,26,2.9540741,6.3310423,9.2851164
Reuters-1200,100,10000,0.5,32,0.483333333333333,0.291588660966045,0.521111111111111,0.357998119200648,71,3,26,2.9323525,6.3310423,9.2633948
Reuters-1200,1,100,1,8,0.452222222222222,0.240381647216082,0.453888888888889,0.328228226007041,49,3,47,6.0376158,5.7127751,11.7503909
Reuters-1200,1,1000,1,8,0.452222222222222,0.240381647216082,0.453888888888889,0.328228226007041,49,3,47,5.7131426,5.7127751,11.4259177
Reuters-1200,1,10000,1,8,0.450555555555556,0.237795807290018,0.453194444444444,0.326643254162919,49,3,47,5.5877819,5.7127751,11.300557
Reuters-1200,10,100,1,8,0.516944444444444,0.287943609163312,0.522916666666667,0.363040909583436,49,3,39,4.6589799,5.7127751,10.371755
Reuters-1200,10,1000,1,8,0.516944444444444,0.287943609163312,0.522916666666667,0.363040909583436,49,3,39,4.8239403,5.7127751,10.5367154
Reuters-1200,10,10000,1,8,0.516944444444444,0.287943609163312,0.522916666666667,0.363040909583436,49,3,39,4.476965,5.7127751,10.1897401
Reuters-1200,100,100,1,8,0.452638888888889,0.269853526559327,0.479027777777778,0.339783994267006,49,3,19,2.1027998,5.7127751,7.8155749
Reuters-1200,100,1000,1,8,0.452638888888889,0.269853526559327,0.479027777777778,0.339783994267006,49,3,19,2.1295118,5.7127751,7.8422869
Reuters-1200,100,10000,1,8,0.454305555555556,0.27114451083733,0.479722222222222,0.34090873837888,49,3,19,2.0978564,5.7127751,7.8106315
Reuters-1200,1,100,1,16,0.424444444444444,0.2275738682368,0.446666666666667,0.326716355384492,37,3,30,3.5920163,5.5709842,9.1630005
Reuters-1200,1,1000,1,16,0.424444444444444,0.2275738682368,0.446666666666667,0.326716355384492,37,3,30,3.5080092,5.5709842,9.0789934
Reuters-1200,1,10000,1,16,0.424444444444444,0.2275738682368,0.446666666666667,0.326716355384492,37,3,30,3.4836699,5.5709842,9.0546541
Reuters-1200,10,100,1,16,0.500833333333333,0.281418237859579,0.524027777777778,0.361016179092742,37,3,40,4.4427018,5.5709842,10.013686
Reuters-1200,10,1000,1,16,0.500833333333333,0.281418237859579,0.524027777777778,0.361016179092742,37,3,40,4.4501074,5.5709842,10.0210916
Reuters-1200,10,10000,1,16,0.500833333333333,0.281418237859579,0.524027777777778,0.361016179092742,37,3,40,4.4403696,5.5709842,10.0113538
Reuters-1200,100,100,1,16,0.439027777777778,0.25003730449238,0.461111111111111,0.322423022752137,37,3,16,1.7917058,5.5709842,7.36269
Reuters-1200,100,1000,1,16,0.439027777777778,0.25003730449238,0.461111111111111,0.322423022752137,37,3,16,1.8008011,5.5709842,7.3717853
Reuters-1200,100,10000,1,16,0.439027777777778,0.25003730449238,0.461111111111111,0.322423022752137,37,3,16,1.7622543,5.5709842,7.3332385
Reuters-1200,1,100,1,32,0.481944444444444,0.271941161831835,0.491527777777778,0.351044461376169,26,3,39,4.5328016,4.7825957,9.3153973
Reuters-1200,1,1000,1,32,0.481944444444444,0.271941161831835,0.491527777777778,0.351044461376169,26,3,39,4.3714156,4.7825957,9.1540113
Reuters-1200,1,10000,1,32,0.481944444444444,0.271941161831835,0.491527777777778,0.351044461376169,26,3,39,4.3316847,4.7825957,9.1142804
Reuters-1200,10,100,1,32,0.530277777777778,0.311535898345835,0.538888888888889,0.378254908432907,26,3,36,4.0527197,4.7825957,8.8353154
Reuters-1200,10,1000,1,32,0.530277777777778,0.311535898345835,0.538888888888889,0.378254908432907,26,3,36,3.9381506,4.7825957,8.7207463
Reuters-1200,10,10000,1,32,0.530277777777778,0.311535898345835,0.538888888888889,0.378254908432907,26,3,36,4.0180086,4.7825957,8.8006043
Reuters-1200,100,100,1,32,0.422777777777778,0.212279650030393,0.44625,0.29683756101932,26,3,17,2.0621505,4.7825957,6.8447462
Reuters-1200,100,1000,1,32,0.422777777777778,0.212279650030393,0.44625,0.29683756101932,26,3,17,2.0273683,4.7825957,6.809964
Reuters-1200,100,10000,1,32,0.422777777777778,0.212279650030393,0.44625,0.29683756101932,26,3,17,1.8574449,4.7825957,6.6400406
Reuters-1200,1,100,2,8,0.449305555555556,0.229512078884255,0.454583333333333,0.344068459129165,15,3,26,3.0893139,4.3029784,7.3922923
