dataset,rank,ACC,NMI,Purity,Fscore,beta,lambda,lambdaBIC,minNodeSize,anchorTotal,anchorCountByView
Caltech101-all,1,0.280238407699038,0.451493400525845,0.428997156605424,0.226553136199233,10,1000,1,80,515,[87 88 84 79 88 89]
Caltech101-all,2,0.279363517060367,0.448818410987529,0.429625984251968,0.220036135399715,10,10000,1,80,515,[87 88 84 79 88 89]
Caltech101-all,3,0.277859798775153,0.440649691309386,0.412592957130359,0.202150121713319,10,10000,1,40,968,[178 171 175 126 165 153]
Caltech101-all,4,0.27545384951881,0.437267930648866,0.412483595800525,0.227433428870348,10,100,2,40,730,[177 157 163 55 86 92]
Caltech101-all,5,0.275344488188976,0.447142013655918,0.423583770778653,0.219001250734927,10,100,1,80,515,[87 88 84 79 88 89]
MFeat_2Views,1,0.8995,0.848340910139354,0.905,0.834523982593832,100,1000,0.5,40,74,[35 39]
MFeat_2Views,2,0.8995,0.848340910139354,0.905,0.834523982593832,100,10000,0.5,40,74,[35 39]
MFeat_2Views,3,0.8995,0.848340910139354,0.905,0.834523982593832,100,100000,0.5,40,74,[35 39]
MFeat_2Views,4,0.8995,0.848340910139354,0.905,0.834523982593832,100,1000,1,40,74,[35 39]
MFeat_2Views,5,0.8995,0.848340910139354,0.905,0.834523982593832,100,10000,1,40,74,[35 39]
Reuters-1200,1,0.590972222222222,0.353447664230425,0.597083333333333,0.422903597460848,100,100,0.5,8,164,[34 32 35 31 32]
Reuters-1200,2,0.590972222222222,0.353447664230425,0.597083333333333,0.422903597460848,100,1000,0.5,8,164,[34 32 35 31 32]
Reuters-1200,3,0.590972222222222,0.353447664230425,0.597083333333333,0.422903597460848,100,10000,0.5,8,164,[34 32 35 31 32]
Reuters-1200,4,0.530277777777778,0.311535898345835,0.538888888888889,0.378254908432907,10,100,1,32,26,[5 5 5 6 5]
Reuters-1200,5,0.530277777777778,0.311535898345835,0.538888888888889,0.378254908432907,10,1000,1,32,26,[5 5 5 6 5]
Wikifea,1,0.537566876017679,0.487552408364626,0.591242149337055,0.449302714535456,100,1000,4,40,54,[16 38]
Wikifea,2,0.535240753663643,0.485182150847749,0.589555710630379,0.447347426384988,100,10000,4,40,54,[16 38]
Wikifea,3,0.532914631309607,0.508408741743243,0.59478948592696,0.445345390135835,100,100,2,40,76,[32 44]
Wikifea,4,0.531518957897185,0.516094534706221,0.606129332402884,0.450133404813361,100,1000,2,40,76,[32 44]
Wikifea,5,0.531518957897185,0.516094534706221,0.606129332402884,0.450133404813361,100,10000,2,40,76,[32 44]
