method,dataset,ACC,NMI,AR,Purity,Fscore,Precision,Recall,Entropy,ACC_std,NMI_std,AR_std,Purity_std,Fscore_std,Precision_std,Recall_std,Entropy_std,beta,lambda,lambdaBIC,minNodeSize,targetView,numAnchors_total,numAnchors_per_view,acceptedSplits,rejectedSplits,meanLeafSize,maxDepth,totalTime,anchorTime,alignmentTime,useMultiViewFusion,singleViewOnly,numGridConfigs,searchBudget,selectionMetric,randomSeed,source
"A0_Full_Reference","ForestTypes",0.80402,0.51539,0.54816,0.80402,0.67413,0.682,0.66691,1.9207,0.015516,0.026646,0.023309,0.015516,0.018919,0.01063,0.029935,0.029885,100,100,0.75,20,3,59,"[20 19 20]",0,0,NaN,,0.5562,0.0242,NaN,"","",625,6250,"ACC",1,"ablation_biclr_latest"
"A1_woBIC_Joint","Mfeat",0.899,0.82327,0.79656,0.899,0.81691,0.81303,0.82084,3.3149,0.020436,0.018133,0.028181,0.020436,0.025338,0.025976,0.024763,0.0029317,100,3000,0,24,1,128,"[65 63]",126,128,31.2576,8,69.8604,0.67546,2.2568,"","",48,480,"ACC",1,"ablation_biclr_latest"
"A1_woBIC_Joint","Ruter1200",0.56052,0.33805,0.2669,0.56125,0.39633,0.37297,0.42305,2.4911,0.0138,0.015752,0.021945,0.012332,0.016588,0.01988,0.013673,0.022837,125,100,0,16,3,310,"[60 62 64 62 62]",305,310,19.3629,23,520.7895,12.1451,6.2949,"","",48,384,"ACC",1,"ablation_biclr_latest"
"A1_woBIC_Joint","WIKI",0.53917,0.50969,0.37856,0.59447,0.44602,0.44292,0.44932,3.2555,0.029359,0.011445,0.02433,0.016785,0.021541,0.023155,0.021626,0.019036,100,1000,0,50,2,88,"[44 44]",86,88,65.1364,16,211.3281,0.26322,2.0387,"","",48,384,"ACC",1,"ablation_biclr_latest"
"A1_woBIC_Joint","ForestTypes",0.7847,0.4942,0.51594,0.7847,0.64952,0.66262,0.63751,1.9315,0.031409,0.044793,0.047056,0.031409,0.036885,0.024724,0.048967,0.03355,100,30,0,20,3,60,"[20 19 21]",57,60,26.1937,7,120.6704,0.037922,0.92351,"","",125,1250,"ACC",1,"ablation_biclr_latest"
"A1_woBIC_Joint","Caltech256_4Views_257cls_withClutter",0.31881,0.55588,0.22092,0.39735,0.22481,0.26413,0.19569,7.9181,0.0034952,0.0033018,0.0048353,0.0042397,0.0048137,0.0056906,0.0043528,0.0087938,200,500,0,160,3,596,"[149 149 148 150]",592,596,205.4207,13,8828.132,198.1501,114.3784,"","",36,108,"ACC",1,"ablation_biclr_latest"
"A3_SSETarget","Mfeat",0.899,0.82327,0.79656,0.899,0.81691,0.81303,0.82084,3.3149,0.020436,0.018133,0.028181,0.020436,0.025338,0.025976,0.024763,0.0029317,100,3000,0.5,24,1,128,"[65 63]",126,128,31.2576,8,280.7753,0.50412,2.3826,"","",240,2400,"ACC",1,"ablation_biclr_latest"
"A3_SSETarget","Ruter1200",0.59562,0.36198,0.2957,0.59562,0.4192,0.3979,0.44382,2.4912,0.022912,0.0081268,0.023899,0.022912,0.016586,0.026978,0.0084855,0.054395,50,300,0.5,10,3,141,"[30 28 30 26 27]",136,141,42.6911,14,727.9105,13.741,7.1186,"","",192,1536,"ACC",1,"ablation_biclr_latest"
"A3_SSETarget","WIKI",0.58034,0.52492,0.43272,0.61697,0.49312,0.49905,0.48734,3.2815,0.0012909,0.0021208,0.0028354,0.0010999,0.0025386,0.0025296,0.0025542,0.00048039,80,1000,2.5,30,1,79,"[29 50]",77,79,78.0738,12,515.8325,0.2263,1.7512,"","",240,1920,"ACC",1,"ablation_biclr_latest"
"A3_SSETarget","ForestTypes",0.80402,0.51539,0.54816,0.80402,0.67413,0.682,0.66691,1.9207,0.015516,0.026646,0.023309,0.015516,0.018919,0.01063,0.029935,0.029885,100,30,0.2,20,3,59,"[20 19 20]",56,59,26.6088,7,835.1942,0,0.577,"","",625,6250,"ACC",1,"ablation_biclr_latest"
