Dataset,Method,ACC_mean,ACC_std,NMI_mean,NMI_std,AR_mean,AR_std,Purity_mean,Fscore_mean,Precision_mean,Recall_mean,Entropy_mean
Mfeat,A0_Full,0.8943,0.0497,0.8260,0.0314,NaN,NaN,0.8971,0.8192,NaN,NaN,NaN
Mfeat,A1_woBIC,0.8990,0.0204,0.8233,0.0181,0.7966,0.0282,0.8990,0.8169,0.8130,0.8208,3.3149
Mfeat,A3_SSETarget,0.8990,0.0204,0.8233,0.0181,0.7966,0.0282,0.8990,0.8169,0.8130,0.8208,3.3149
Mfeat,A4_SingleView,0.5837,0.0271,0.5347,0.0174,0.4016,0.0256,0.5994,0.4641,0.4427,0.4879,3.2470
Reuters-1200,A0_Full,0.6481,0.0095,0.3977,0.0107,NaN,NaN,0.6481,0.4653,NaN,NaN,NaN
Reuters-1200,A1_woBIC,0.5605,0.0138,0.3381,0.0158,0.2669,0.0219,0.5613,0.3963,0.3730,0.4230,2.4911
Reuters-1200,A3_SSETarget,0.5956,0.0229,0.3620,0.0081,0.2957,0.0239,0.5956,0.4192,0.3979,0.4438,2.4912
Reuters-1200,A4_SingleView,0.6105,0.0158,0.3462,0.0073,0.3103,0.0193,0.6105,0.4271,0.4192,0.4356,2.5538
WIKI,A0_Full,0.5579,0.0132,0.5204,0.0099,NaN,NaN,0.6163,0.4511,NaN,NaN,NaN
WIKI,A1_woBIC,0.5392,0.0294,0.5097,0.0114,0.3786,0.0243,0.5945,0.4460,0.4429,0.4493,3.2555
WIKI,A3_SSETarget,0.5803,0.0013,0.5249,0.0021,0.4327,0.0028,0.6170,0.4931,0.4990,0.4873,3.2815
WIKI,A4_SingleView,0.5546,0.0226,0.5110,0.0136,0.3603,0.0242,0.5989,0.4320,0.4165,0.4496,3.2202
ForestTypes,A0_Full,0.8040,0.0155,0.5154,0.0266,0.5482,0.0233,0.8040,0.6741,0.6820,0.6669,1.9207
ForestTypes,A1_woBIC,0.7847,0.0314,0.4942,0.0448,0.5159,0.0471,0.7847,0.6495,0.6626,0.6375,1.9315
ForestTypes,A3_SSETarget,0.8040,0.0155,0.5154,0.0266,0.5482,0.0233,0.8040,0.6741,0.6820,0.6669,1.9207
ForestTypes,A4_SingleView,0.6778,0.0673,0.3772,0.0391,0.3530,0.0463,0.6922,0.5321,0.5416,0.5234,1.9294
Caltech256,A0_Full,0.3043,0.0015,0.5379,0.0015,NaN,NaN,0.3799,0.2105,NaN,NaN,NaN
Caltech256,A1_woBIC,0.3188,0.0035,0.5559,0.0033,0.2209,0.0048,0.3973,0.2248,0.2641,0.1957,7.9181
Caltech256,A3_SSETarget,0.2444,0.0057,0.4814,0.0025,0.1665,0.0081,0.3082,0.1707,0.1975,0.1504,7.8984
Caltech256,A4_SingleView,0.0889,0.0017,0.3157,0.0007,0.0610,0.0059,0.1497,0.0656,0.0793,0.0559,7.9582
