Dataset,Method,AvgAnchors,AnchorCountsPerView,TargetView,AcceptedSplits,RejectedSplits,MeanLeafSize,MaxDepth,AnchorTime_s,AlignmentTime_s,TotalTime_s
Mfeat,A0_Full,47.5,"[49;46]",1,NaN,NaN,NaN,NaN,NaN,NaN,119.0
Mfeat,A1_woBIC,64.0,"[65;63]",1,126,128,31.3,8,0.7,2.3,69.9
Mfeat,A3_SSETarget,64.0,"[65;63]",1,126,128,31.3,8,0.5,2.4,280.8
Mfeat,A4_SingleView,35.0,"[33;37]",1,68,70,57.3,7,0.4,0.0,60.7
Reuters-1200,A0_Full,43.0,"[41;42;47;38;47]",1,NaN,NaN,NaN,NaN,NaN,NaN,409.5
Reuters-1200,A1_woBIC,62.0,"[60;62;64;62;62]",3,305,310,19.4,23,12.1,6.3,520.8
Reuters-1200,A3_SSETarget,28.2,"[30;28;30;26;27]",3,136,141,42.7,14,13.7,7.1,727.9
Reuters-1200,A4_SingleView,25.2,"[27;24;27;23;25]",4,121,126,47.8,13,0.0,0.0,159.2
WIKI,A0_Full,25.0,"[15;35]",2,NaN,NaN,NaN,NaN,NaN,NaN,420.5
WIKI,A1_woBIC,44.0,"[44;44]",2,86,88,65.1,16,0.3,2.0,211.3
WIKI,A3_SSETarget,39.5,"[29;50]",1,77,79,78.1,12,0.2,1.8,515.8
WIKI,A4_SingleView,26.0,"[18;34]",2,50,52,121.8,11,0.3,0.0,125.9
ForestTypes,A0_Full,19.7,"[20;19;20]",3,NaN,NaN,NaN,NaN,0.0,NaN,0.6
ForestTypes,A1_woBIC,20.0,"[20;19;21]",3,57,60,26.2,7,0.0,0.9,120.7
ForestTypes,A3_SSETarget,19.7,"[20;19;20]",3,56,59,26.6,7,0.0,0.6,835.2
ForestTypes,A4_SingleView,25.3,"[25;26;25]",1,73,76,20.7,8,0.0,0.0,29.9
Caltech256,A0_Full,115.5,"[171;78;97;116]",3,NaN,NaN,NaN,NaN,138.3,115.3,253.6
Caltech256,A1_woBIC,149.0,"[149;149;148;150]",3,592,596,205.4,13,198.2,114.4,8828.1
Caltech256,A3_SSETarget,133.2,"[213;80;102;138]",1,529,533,262.0,13,385.4,135.4,7995.7
Caltech256,A4_SingleView,81.0,"[116;59;66;83]",3,320,324,403.8,11,231.3,0.0,3834.1
