Dataset,Method,numGridConfigs,numSeeds,numRuns,searchBudget,selectionMetric
Mfeat,A0_Full,15,1,10,150,ACC
Mfeat,A1_woBIC,48,1,10,480,ACC
Mfeat,A3_SSETarget,240,1,10,2400,ACC
Mfeat,A4_SingleView,80,1,10,800,ACC
Reuters-1200,A0_Full,15,1,8,120,ACC
Reuters-1200,A1_woBIC,48,1,8,384,ACC
Reuters-1200,A3_SSETarget,192,1,8,1536,ACC
Reuters-1200,A4_SingleView,64,1,8,512,ACC
WIKI,A0_Full,15,1,8,120,ACC
WIKI,A1_woBIC,48,1,8,384,ACC
WIKI,A3_SSETarget,240,1,8,1920,ACC
WIKI,A4_SingleView,80,1,8,640,ACC
ForestTypes,A0_Full,625,1,10,6250,ACC
ForestTypes,A1_woBIC,125,1,10,1250,ACC
ForestTypes,A3_SSETarget,625,1,10,6250,ACC
ForestTypes,A4_SingleView,125,1,10,1250,ACC
Caltech256,A0_Full,256,1,3,768,ACC
Caltech256,A1_woBIC,36,1,3,108,ACC
Caltech256,A3_SSETarget,48,1,3,144,ACC
Caltech256,A4_SingleView,36,1,3,108,ACC
