Dataset,Method,Source,Result_type,ACC,NMI,AR,Purity,Fscore,Precision,Recall,Entropy,Selected_beta,Selected_lambda,Selected_lambdaBIC,Selected_minNodeSize,Delta_ACC,Delta_NMI,Delta_AR
Mfeat,Original 3AMVC Baseline,Paper reported 3AMVC,best,0.8737,0.824,NaN,NaN,0.7986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mfeat,A0_Full_Reference,A0 result from 3AMVC-main/res_biclr_refined,best,0.927,0.854009703142944,0.845209995772205,0.927,0.860657463382357,0.858531511890713,0.862793969849246,3.31836371916519,100,1000,0.75,32,0.0533,0.030009703142944,NaN
Mfeat,A1_woBIC_Joint,local ablation result,best,0.927,0.854009703142944,0.845209995772205,0.927,0.860657463382357,0.858531511890713,0.862793969849246,3.31836371916519,100,1000,0,32,0,0,0
Mfeat,A3_SSETarget,local ablation result,best,0.927,0.854009703142944,0.845209995772205,0.927,0.860657463382357,0.858531511890713,0.862793969849246,3.31836371916519,100,1000,0.5,32,0,0,0
Mfeat,A4_woMultiViewFusion,local ablation result,best,0.686,0.600384236250138,0.473770430070806,0.686,0.530128595113479,0.492765072047105,0.573623115577889,3.20543113474617,160,NaN,1.5,24,-0.241,-0.253625466892806,-0.371439565701399
Reuters-1200,Original 3AMVC Baseline,Paper reported 3AMVC,best,0.5734,0.3316,NaN,NaN,0.4061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Reuters-1200,A0_Full_Reference,A0 result from 3AMVC-main/res_biclr_refined,best,0.659166666666667,0.411828159165147,0.374818012587677,0.659166666666667,0.479531969627816,0.475174738919497,0.483969849246231,2.57118901100456,2000,1000,0.35,16,0.0857666666666667,0.0802281591651468,NaN
Reuters-1200,A1_woBIC_Joint,local ablation result,best,0.610833333333333,0.350780964248917,0.305907970853296,0.610833333333333,0.425263786742446,0.41045520422634,0.441180904522613,2.53633099172318,75,100,0,16,-0.0483333333333333,-0.0610471949162296,-0.0689100417343805
Reuters-1200,A3_SSETarget,local ablation result,best,0.6425,0.381602268295016,0.345991453985965,0.6425,0.455451053669677,0.451653283920115,0.459313232830821,2.57247652336781,50,300,0.5,10,-0.0166666666666667,-0.0302258908701303,-0.0288265586017118
Reuters-1200,A4_woMultiViewFusion,local ablation result,best,0.62,0.353456179348013,0.322651406053848,0.62,0.436455382070106,0.431150153217569,0.441892797319933,2.56588740293525,50,NaN,0.5,12,-0.0391666666666667,-0.0583719798171334,-0.0521666065338289
WIKI,A0_Full_Reference,A0 result parsed from 3AMVC-main/res_biclr_refined text,best,0.581996,0.513267,NaN,0.621424,0.475074,NaN,NaN,NaN,120,10000,4.5,30,NaN,NaN,NaN
WIKI,A1_woBIC_Joint,local ablation result,best,0.585484996510816,0.525475007275905,0.436560768190504,0.625261688764829,0.496625681374766,0.502002170750294,0.491363137027979,3.28341882068264,80,100,0,50,0.00348899651081647,0.0122080072759052,NaN
WIKI,A3_SSETarget,local ablation result,best,0.587927424982554,0.497352059323773,0.384165373977972,0.591765526866713,0.453197674418605,0.435661941048645,0.472204264860784,3.20694744166885,100,300,3.5,20,0.00593142498255417,-0.0159149406762272,NaN
WIKI,A4_woMultiViewFusion,local ablation result,best,0.596650383810188,0.528918425257048,0.40218233358302,0.622819260293091,0.469583269558694,0.448813203115342,0.492369000420428,3.20629746417549,160,NaN,3.5,50,0.0146543838101885,0.0156514252570482,NaN
Caltech256,Original 3AMVC Baseline,Original 3AMVC local run on catlch256_4Views_257cls_withClutter,best,0.180739700068612,0.416494338362488,0.112126992195931,0.235305649034535,0.117138092776087,0.121842360026902,0.112803137245778,7.75314828787847,30,300000,NaN,NaN,NaN,NaN,NaN
Caltech256,A0_Full_Reference,A0 result parsed from 3AMVC-main/res_biclr_refined text,best,0.3043,0.5379,NaN,0.3799,0.2105,NaN,NaN,NaN,200,1000,3,120,0.123560299931388,0.121405661637512,NaN
Caltech256,A1_woBIC_Joint,local ablation result,best,0.322148528114484,0.556744825466281,0.215696990495251,0.395661123272454,0.219594382021529,0.259522998617351,0.190313859089328,7.92638859466765,200,500,0,160,0.0178485281144836,0.0188448254662811,NaN
