Dataset,Method,Result_type,Avg_anchors,Anchor_counts_per_view,Target_view,Accepted_splits,Rejected_splits,Mean_leaf_size,Max_depth,Anchor_time,Alignment_time,Total_time
Mfeat,A0_Full_Reference,best,47.5,[49;46],1,,,,,NaN,NaN,119.0473421
Mfeat,A1_woBIC_Joint,best,47.5,[49 46],1,[48 45],[49 46],[40.8163265306122 43.4782608695652],[8 7],0.3877138,1.0329336,1.8607659
Mfeat,A3_SSETarget,best,47.5,[49 46],1,[48 45],[49 46],[40.8163265306122 43.4782608695652],[8 7],0,1.2246031,1.6852222
Mfeat,A4_woMultiViewFusion,best,56.5,[54 59],1,[53 58],[54 59],[37.037037037037 33.8983050847458],[7 7],0.4801258,0,1.2054999
Reuters-1200,A0_Full_Reference,best,43,[41;42;47;38;47],1,,,,,NaN,NaN,409.5308629
Reuters-1200,A1_woBIC_Joint,best,62,[60 62 64 62 62],3,[59 61 63 61 61],[60 62 64 62 62],[20 19.3548387096774 18.75 19.3548387096774 19.3548387096774],[22 17 21 19 23],12.1450737,7.8529444,20.1656145
Reuters-1200,A3_SSETarget,best,28.2,[30 28 30 26 27],3,[29 27 29 25 26],[30 28 30 26 27],[40 42.8571428571429 40 46.1538461538462 44.4444444444444],[14 13 10 11 9],13.7410218,7.1185942,727.9104534
Reuters-1200,A4_woMultiViewFusion,best,25.2,[27 24 27 23 25],4,[26 23 26 22 24],[27 24 27 23 25],[44.4444444444444 50 44.4444444444444 52.1739130434783 48],[13 12 10 10 10],0,0,159.2471144
WIKI,A0_Full_Reference,best,25,[15 35],2,,,,,NaN,NaN,NaN
WIKI,A1_woBIC_Joint,best,44,[44 44],2,[43 43],[44 44],[65.1363636363636 65.1363636363636],[9 16],0.2632184,2.3220514,3.0214014
WIKI,A3_SSETarget,best,34.5,[21 48],2,[20 47],[21 48],[136.47619047619 59.7083333333333],[6 12],0.1820276,1.4602074,2.0506876
WIKI,A4_woMultiViewFusion,best,26,[18 34],2,[17 33],[18 34],[159.222222222222 84.2941176470588],[6 11],0.2685229,0,1.5726399
Caltech256,A0_Full_Reference,best,115.5,[171 78 97 116],3,,,,,NaN,NaN,NaN
Caltech256,A1_woBIC_Joint,best,149,[149 149 148 150],3,[148 148 147 149],[149 149 148 150],[205.41610738255 205.41610738255 206.804054054054 204.046666666667],[13 10 9 13],198.1500807,114.3784036,8828.1320254
Caltech256,A3_SSETarget,best,133.25,[213 80 102 138],1,[212 79 101 137],[213 80 102 138],[143.694835680751 382.5875 300.06862745098 221.789855072464],[13 8 9 11],385.4288637,135.4105145,7995.6559345
Caltech256,A4_woMultiViewFusion,best,81,[116 59 66 83],3,[115 58 65 82],[116 59 66 83],[263.853448275862 518.762711864407 463.742424242424 368.759036144578],[11 7 7 10],231.2528188,0,3834.0874215
ForestTypes,A0_Full_Reference,best,16.6666666666667,[17;17;16],3,,,,,NaN,NaN,522.4532002
ForestTypes,A1_woBIC_Joint,best,20,[20 19 21],3,[19 18 20],[20 19 21],[26.15 27.5263157894737 24.9047619047619],[7 7 7],0.0379221,0.9235138,120.6703969
ForestTypes,A3_SSETarget,best,19.6666666666667,[20 19 20],3,[19 18 19],[20 19 20],[26.15 27.5263157894737 26.15],[7 7 7],0,0.5495269,0.5995435
ForestTypes,A4_woMultiViewFusion,best,25.3333333333333,[25 26 25],1,[24 25 24],[25 26 25],[20.92 20.1153846153846 20.92],[8 8 8],0,0,29.9224993
