Dataset,Method,Source,Result_type,ACC,NMI,AR,Purity,Fscore,Precision,Recall,Entropy,Selected_beta,Selected_lambda,Selected_lambdaBIC,Selected_minNodeSize,Delta_ACC,Delta_NMI,Delta_AR
Mfeat,Original 3AMVC Baseline,Paper reported 3AMVC,mean,0.8737,0.824,NaN,NaN,0.7986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mfeat,A0_Full_Reference,A0 result from 3AMVC-main/res_biclr_refined,mean,0.8943,0.826028299411179,0.79891628333835,0.89705,0.819180361504948,0.811974778686347,0.826720603015075,3.30852169266849,100,1000,0.75,32,0.0206,0.00202829941117877,NaN
Mfeat,A1_woBIC_Joint,local ablation result,mean,0.899,0.823273871171849,0.796562434138877,0.899,0.816914675006068,0.813030744495613,0.820842211055276,3.31494935683587,100,3000,0,24,0.00470000000000004,-0.00275442823932937,-0.0023538491994729
Mfeat,A3_SSETarget,local ablation result,mean,0.899,0.823273871171849,0.796562434138877,0.899,0.816914675006068,0.813030744495613,0.820842211055276,3.31494935683587,100,3000,0.5,24,0.00470000000000004,-0.00275442823932937,-0.0023538491994729
Mfeat,A4_woMultiViewFusion,local ablation result,mean,0.5837,0.534662388120424,0.401554890817802,0.5994,0.464067306561617,0.442715494488003,0.487914572864322,3.24703110358849,160,NaN,2,40,-0.3106,-0.291365911290754,-0.397361392520548
Reuters-1200,Original 3AMVC Baseline,Paper reported 3AMVC,mean,0.5734,0.3316,NaN,NaN,0.4061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Reuters-1200,A0_Full_Reference,A0 result from 3AMVC-main/res_biclr_refined,mean,0.648125,0.397749386208353,0.357132316793375,0.648125,0.465281715603855,0.459164898460113,0.471603852596315,2.56449072866664,2000,1000,0.35,16,0.074725,0.0661493862083529,NaN
Reuters-1200,A1_woBIC_Joint,local ablation result,mean,0.560520833333333,0.338052788451261,0.266899787751253,0.56125,0.396326358168542,0.372973340210063,0.423047529313233,2.49114802984361,125,100,0,16,-0.0876041666666667,-0.0596965977570921,-0.0902325290421213
Reuters-1200,A3_SSETarget,local ablation result,mean,0.595625,0.361978147052221,0.295703849957427,0.595625,0.419198353591535,0.39789909900777,0.443817001675042,2.49124802803436,50,300,0.5,10,-0.0525000000000001,-0.0357712391561316,-0.0614284668359479
Reuters-1200,A4_woMultiViewFusion,local ablation result,mean,0.610520833333333,0.346209557480732,0.310346855147708,0.610520833333333,0.427128855836689,0.419246107790886,0.435619765494137,2.55377807729613,50,NaN,0.5,12,-0.0376041666666667,-0.0515398287276205,-0.0467854616456668
WIKI,A0_Full_Reference,A0 result parsed from 3AMVC-main/res_biclr_refined text,mean,0.557877,0.520398,NaN,0.616321,0.451136,NaN,NaN,NaN,100,10000,4.5,30,NaN,NaN,NaN
WIKI,A1_woBIC_Joint,local ablation result,mean,0.539166085136078,0.509690145627471,0.378558865940077,0.59446964410328,0.446018118403681,0.44292082213411,0.449323980687423,3.25550942539789,100,1000,0,50,-0.0187109148639218,-0.0107078543725293,NaN
WIKI,A3_SSETarget,local ablation result,mean,0.580338450802512,0.524924190619234,0.432719996886323,0.616974877878576,0.49312315252657,0.499048889369556,0.487336575453317,3.28145574487627,80,1000,2.5,30,0.0224614508025123,0.00452619061923398,NaN
WIKI,A4_woMultiViewFusion,local ablation result,mean,0.554605722260991,0.51098570640554,0.360311917108528,0.598874738311235,0.431955402884334,0.416519703036935,0.449566970158633,3.22018034066733,100,NaN,3.5,50,-0.00327127773900904,-0.00941229359446039,NaN
Caltech256,Original 3AMVC Baseline,Original 3AMVC local run on catlch256_4Views_257cls_withClutter,mean,0.180739700068612,0.416494338362488,0.112126992195931,0.235305649034535,0.117138092776087,0.121842360026902,0.112803137245778,7.75314828787847,30,300000,NaN,NaN,NaN,NaN,NaN
Caltech256,A0_Full_Reference,A0 result parsed from 3AMVC-main/res_biclr_refined text,mean,0.3043,0.5379,NaN,0.3799,0.2105,NaN,NaN,NaN,200,1000,3,120,0.123560299931388,0.121405661637512,NaN
Caltech256,A1_woBIC_Joint,local ablation result,mean,0.318805066379151,0.555881564268742,0.220915910144871,0.397349190272378,0.224810299949843,0.264126534731476,0.195690443583974,7.91809818966091,200,500,0,160,0.0145050663791508,0.0179815642687418,NaN
Caltech256,A3_SSETarget,local ablation result,mean,0.244366757059932,0.481358549141868,0.166514800356522,0.308186580411888,0.170747214260769,0.197461603324981,0.150402946942219,7.8984351165136,150,10000,3,80,-0.0599332429400682,-0.0565414508581316,NaN
Caltech256,A4_woMultiViewFusion,local ablation result,mean,0.0889230132540487,0.315727928274927,0.0610467816039158,0.149747879025495,0.0656054801920097,0.0793344564589087,0.055927845576854,7.95820428659862,200,NaN,4,160,-0.215376986745951,-0.222172071725074,NaN
ForestTypes,Original 3AMVC Baseline,Paper reported 3AMVC,mean,0.7984,0.5397,NaN,NaN,0.6752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ForestTypes,A0_Full_Reference,A0 result from 3AMVC-main/res_biclr_refined,mean,0.758508604206501,0.485882452057001,0.485687843204278,0.770172084130019,0.627554180743525,0.642072100836282,0.613767062853584,1.94122276091334,200,1000,0.75,24,-0.039891395793499,-0.0538175479429986,NaN
ForestTypes,A1_woBIC_Joint,local ablation result,mean,0.784703632887189,0.494198074800433,0.515935001604155,0.784703632887189,0.649521223627663,0.662623462184689,0.637509731665542,1.93146607054567,100,30,0,20,0.0261950286806882,0.00831562274343212,0.0302471583998776
ForestTypes,A3_SSETarget,local ablation result,mean,0.804015296367113,0.515391572245022,0.548161754687844,0.804015296367113,0.674127680177464,0.681995706977477,0.666914932267608,1.92069781044523,100,30,0.2,20,0.045506692160612,0.0295091201880208,0.0624739114835661
ForestTypes,A4_woMultiViewFusion,local ablation result,mean,0.677820267686424,0.377165367991038,0.352963799650112,0.692160611854684,0.532145078876271,0.541557072295355,0.523381948409197,1.92939625567783,160,NaN,0.2,16,-0.0806883365200766,-0.108717084065963,-0.132724043554166
