Dataset,Method,Delta ACC,Delta NMI,Delta AR
Mfeat,A1_woBIC_Joint,-0.0280,-0.0307,-0.0486
Mfeat,A3_SSETarget,-0.0280,-0.0307,-0.0486
Mfeat,A4_woMultiViewFusion,-0.3433,-0.3193,-0.4437
Reuters-1200,A1_woBIC_Joint,-0.0986,-0.0738,-0.1079
Reuters-1200,A3_SSETarget,-0.0635,-0.0499,-0.0791
Reuters-1200,A4_woMultiViewFusion,-0.0486,-0.0656,-0.0645
WIKI,A1_woBIC_Joint,-0.0428,-0.0036,Missing
WIKI,A3_SSETarget,-0.0017,+0.0117,Missing
WIKI,A4_woMultiViewFusion,-0.0274,-0.0023,Missing
ForestTypes,A1_woBIC_Joint,-0.0337,-0.0589,-0.0517
ForestTypes,A3_SSETarget,-0.0143,-0.0377,-0.0195
ForestTypes,A4_woMultiViewFusion,-0.1405,-0.1759,-0.2147
Caltech256,A1_woBIC_Joint,+0.0145,+0.0180,Missing
Caltech256,A3_SSETarget,-0.0599,-0.0565,Missing
Caltech256,A4_woMultiViewFusion,-0.2154,-0.2222,Missing
