Dataset,Method,ResultType,AvgAnchors,AnchorCounts,TargetView,AcceptedSplits,RejectedSplits,MeanLeafSize,MaxDepth,AnchorTime,AlignmentTime,TotalTime,beta,lambda,lambdaBIC,minNodeSize,numRuns,numSeeds,numGridConfigs,searchBudget,selectionRule,selectedConfig,sourceFile
Mfeat,A0_Full_Reference,best,47.5,[49;46],1,Missing,Missing,Missing,Missing,Missing,Missing,119.047,100,1000,0.75,32,10,1,Missing,Missing,按重复评价均值+标准差上界,"beta=100.0000, lambda=1000.0000, lambdaBIC=0.7500, minNodeSize=32.0000, targetView=1.0000",D:\matlab\3AMVC-BIC\3AMVC-main\res_biclr_refined\MFeat_2Views_BICLR_refined_best_ACC.mat
Mfeat,A1_woBIC_Joint,mean,64,[65 63],1,[64 62],[65 63],[30.7692307692308 31.7460317460317],[8 7],0.675461,2.25684,69.8604,100,3000,0,24,10,1,48,480,best_mean_ACC_then_NMI,"beta=100.0000, lambda=3000.0000, lambdaBIC=0.0000, minNodeSize=24.0000, targetView=1.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A1_woBIC_Joint\Mfeat\A1_woBIC_Joint_Mfeat_latest.mat
Mfeat,A3_SSETarget,mean,64,[65 63],1,[64 62],[65 63],[30.7692307692308 31.7460317460317],[8 7],0.504116,2.38263,280.775,100,3000,0.5,24,10,1,240,2400,best_mean_ACC_then_NMI,"beta=100.0000, lambda=3000.0000, lambdaBIC=0.5000, minNodeSize=24.0000, targetView=1.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A3_SSETarget\Mfeat\A3_SSETarget_Mfeat_latest.mat
Mfeat,A4_woMultiViewFusion,mean,35,[33 37],1,[32 36],[33 37],[60.6060606060606 54.0540540540541],[7 6],0.377688,0,60.6602,160,Missing,2,40,10,1,80,800,best_mean_ACC_then_NMI,"beta=160.0000, lambda=Missing, lambdaBIC=2.0000, minNodeSize=40.0000, targetView=1.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A4_woMultiViewFusion\Mfeat\A4_woMultiViewFusion_Mfeat_latest.mat
Reuters-1200,A0_Full_Reference,best,43,[41;42;47;38;47],1,Missing,Missing,Missing,Missing,Missing,Missing,409.531,2000,1000,0.35,16,8,1,Missing,Missing,按重复评价均值+标准差上界,"beta=2000.0000, lambda=1000.0000, lambdaBIC=0.3500, minNodeSize=16.0000, targetView=1.0000",D:\matlab\3AMVC-BIC\3AMVC-main\res_biclr_refined\Reuters_1200_BICLR_refined_best_ACC.mat
Reuters-1200,A1_woBIC_Joint,mean,62,[60 62 64 62 62],3,[59 61 63 61 61],[60 62 64 62 62],[20 19.3548387096774 18.75 19.3548387096774 19.3548387096774],[22 17 21 19 23],12.1451,6.29486,520.79,125,100,0,16,8,1,48,384,best_mean_ACC_then_NMI,"beta=125.0000, lambda=100.0000, lambdaBIC=0.0000, minNodeSize=16.0000, targetView=3.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A1_woBIC_Joint\Ruter1200\A1_woBIC_Joint_Ruter1200_latest.mat
Reuters-1200,A3_SSETarget,mean,28.2,[30 28 30 26 27],3,[29 27 29 25 26],[30 28 30 26 27],[40 42.8571428571429 40 46.1538461538462 44.4444444444444],[14 13 10 11 9],13.741,7.11859,727.91,50,300,0.5,10,8,1,192,1536,best_mean_ACC_then_NMI,"beta=50.0000, lambda=300.0000, lambdaBIC=0.5000, minNodeSize=10.0000, targetView=3.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A3_SSETarget\Ruter1200\A3_SSETarget_Ruter1200_latest.mat
Reuters-1200,A4_woMultiViewFusion,mean,25.2,[27 24 27 23 25],4,[26 23 26 22 24],[27 24 27 23 25],[44.4444444444444 50 44.4444444444444 52.1739130434783 48],[13 12 10 10 10],0,0,159.247,50,Missing,0.5,12,8,1,64,512,best_mean_ACC_then_NMI,"beta=50.0000, lambda=Missing, lambdaBIC=0.5000, minNodeSize=12.0000, targetView=4.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A4_woMultiViewFusion\Ruter1200\A4_woMultiViewFusion_Ruter1200_latest.mat
WIKI,A0_Full_Reference,best,25,[15 35],2,Missing,Missing,Missing,Missing,Missing,Missing,Missing,120,10000,4.5,30,8,1,Missing,Missing,best_mean_ACC_then_NMI,"beta=120.0000, lambda=10000.0000, lambdaBIC=4.5000, minNodeSize=30.0000, targetView=2.0000",D:\matlab\3AMVC-BIC\3AMVC-main\res_biclr_refined\Wikifea_BICLR_refined_best_ACC.txt
WIKI,A1_woBIC_Joint,mean,44,[44 44],2,[43 43],[44 44],[65.1363636363636 65.1363636363636],[9 16],0.263218,2.03868,211.328,100,1000,0,50,8,1,48,384,best_mean_ACC_then_NMI,"beta=100.0000, lambda=1000.0000, lambdaBIC=0.0000, minNodeSize=50.0000, targetView=2.0000",D:\matlab\3AMVC-BIC\ablation_biclr\res\A1_woBIC_Joint\WIKI\A1_woBIC_Joint_WIKI_latest.mat
