Dataset,Method,CompareMode,Delta ACC,Delta NMI,Delta AR
Mfeat,A1_fixed_woBIC,Delta strict-bestRun vs A0-best,+0.0000,+0.0000,-0.0000
Mfeat,A3_fixed_SSETarget,Delta strict-bestRun vs A0-best,+0.0000,+0.0000,-0.0000
Mfeat,A4_fixed_woMultiViewFusion,Delta strict-bestRun vs A0-best,-0.2975,-0.2576,-0.4032
Reuters-1200,A1_fixed_woBIC,Delta strict-bestRun vs A0-best,-0.0808,-0.0555,-0.1087
Reuters-1200,A3_fixed_SSETarget,Delta strict-bestRun vs A0-best,-0.0317,-0.0416,-0.0419
Reuters-1200,A4_fixed_woMultiViewFusion,Delta strict-bestRun vs A0-best,-0.0275,-0.0299,-0.0321
WIKI,A1_fixed_woBIC,Delta strict-bestRun vs A0-best,-0.1947,-0.1790,Missing
WIKI,A3_fixed_SSETarget,Delta strict-bestRun vs A0-best,-0.0956,-0.0712,Missing
WIKI,A4_fixed_woMultiViewFusion,Delta strict-bestRun vs A0-best,-0.0209,-0.0017,Missing
ForestTypes,A1_fixed_woBIC,Delta strict-bestRun vs A0-best,-0.0115,-0.0220,-0.0278
ForestTypes,A3_fixed_SSETarget,Delta strict-bestRun vs A0-best,-0.0000,+0.0000,-0.0000
ForestTypes,A4_fixed_woMultiViewFusion,Delta strict-bestRun vs A0-best,-0.5048,-0.5335,-0.5557
Caltech256,A1_fixed_woBIC,Delta strict-bestRun vs A0-best,+0.0137,+0.0029,Missing
Caltech256,A3_fixed_SSETarget,Delta strict-bestRun vs A0-best,-0.2357,-0.2675,Missing
Caltech256,A4_fixed_woMultiViewFusion,Delta strict-bestRun vs A0-best,-0.2131,-0.2204,Missing
