Dataset,Method,CompareMode,Delta ACC,Delta NMI,Delta AR
Mfeat,A1_fixed_woBIC,Delta strict-mean vs A0-best,-0.0327,-0.0280,-0.0463
Mfeat,A3_fixed_SSETarget,Delta strict-mean vs A0-best,-0.0327,-0.0280,-0.0463
Mfeat,A4_fixed_woMultiViewFusion,Delta strict-mean vs A0-best,-0.3720,-0.3101,-0.4684
Reuters-1200,A1_fixed_woBIC,Delta strict-mean vs A0-best,-0.1218,-0.0623,-0.1224
Reuters-1200,A3_fixed_SSETarget,Delta strict-mean vs A0-best,-0.0768,-0.0710,-0.0808
Reuters-1200,A4_fixed_woMultiViewFusion,Delta strict-mean vs A0-best,-0.0435,-0.0425,-0.0518
WIKI,A1_fixed_woBIC,Delta strict-mean vs A0-best,-0.2059,-0.1647,Missing
WIKI,A3_fixed_SSETarget,Delta strict-mean vs A0-best,-0.1110,-0.0883,Missing
WIKI,A4_fixed_woMultiViewFusion,Delta strict-mean vs A0-best,-0.0426,-0.0053,Missing
ForestTypes,A1_fixed_woBIC,Delta strict-mean vs A0-best,-0.1027,-0.1240,-0.1456
ForestTypes,A3_fixed_SSETarget,Delta strict-mean vs A0-best,-0.0598,-0.0672,-0.0820
ForestTypes,A4_fixed_woMultiViewFusion,Delta strict-mean vs A0-best,-0.5149,-0.5399,-0.5612
Caltech256,A1_fixed_woBIC,Delta strict-mean vs A0-best,+0.0097,+0.0065,Missing
Caltech256,A3_fixed_SSETarget,Delta strict-mean vs A0-best,-0.2362,-0.2682,Missing
Caltech256,A4_fixed_woMultiViewFusion,Delta strict-mean vs A0-best,-0.2167,-0.2220,Missing
