Dataset,Method,AnchorCounts,AvgAnchors,TargetView,A0TargetView,BICTargetView,SSETargetView,AcceptedSplits,RejectedSplits,MeanLeafSize,MaxDepth,AnchorTime,AlignmentTime,TotalTime,LambdaNotUsed,UseMultiViewFusion,CacheHit,CacheSource,SourceFile
Mfeat,A1_fixed_woBIC,[49 46],47.5,1,1,1,1,[48 45],[49 46],[40.8163 43.4783],[8 7],0,1.10037,1.52867,false,true,[true true],readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A1_fixed_woBIC\Mfeat\A1_fixed_woBIC_Mfeat_20260518_105222.mat
Mfeat,A3_fixed_SSETarget,[49 46],47.5,1,1,1,1,[48 45],[49 46],[40.8163 43.4783],[8 7],0,1.11534,1.49157,false,true,[true true],readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A3_fixed_SSETarget\Mfeat\A3_fixed_SSETarget_Mfeat_20260518_105651.mat
Mfeat,A4_fixed_woMultiViewFusion,[49 46],47.5,1,1,1,1,[48 45],[49 46],[40.8163 43.4783],[8 7],0,0,0.608609,true,false,[true true],readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A4_fixed_woMultiViewFusion\Mfeat\A4_fixed_woMultiViewFusion_Mfeat_20260518_110037.mat
Reuters-1200,A1_fixed_woBIC,[60 62 64 62 62],62,3,1,3,3,[59 61 63 61 61],[60 62 64 62 62],[20 19.3548 18.75 19.3548 19.3548],[22 17 21 19 23],0,1.45985,1.88171,false,true,[true true true true true],readonly_existing_cache; readonly_existing_cache; readonly_existing_cache; readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A1_fixed_woBIC\Reuters1200\A1_fixed_woBIC_Reuters1200_20260518_105611.mat
Reuters-1200,A3_fixed_SSETarget,[41 42 47 38 47],43,3,1,1,3,[40 41 46 37 46],[41 42 47 38 47],[29.2683 28.5714 25.5319 31.5789 25.5319],[12 15 14 15 23],0,1.30035,1.66947,false,true,[true true true true true],readonly_existing_cache; readonly_existing_cache; readonly_existing_cache; readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A3_fixed_SSETarget\Reuters1200\A3_fixed_SSETarget_Reuters1200_20260518_110019.mat
Reuters-1200,A4_fixed_woMultiViewFusion,[41 42 47 38 47],43,1,1,1,3,[40 41 46 37 46],[41 42 47 38 47],[29.2683 28.5714 25.5319 31.5789 25.5319],[12 15 14 15 23],0,0,0.567281,true,false,[true true true true true],readonly_existing_cache; readonly_existing_cache; readonly_existing_cache; readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A4_fixed_woMultiViewFusion\Reuters1200\A4_fixed_woMultiViewFusion_Reuters1200_20260518_110152.mat
WIKI,A1_fixed_woBIC,[73 75],74,2,2,2,2,[72 74],[73 75],[39.2603 38.2133],[11 18],0,21.3251,22.2993,false,true,[true true],readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A1_fixed_woBIC\WIKI\A1_fixed_woBIC_WIKI_20260518_105144.mat
WIKI,A3_fixed_SSETarget,[15 35],25,1,2,2,1,[14 34],[15 35],[191.067 81.8857],[6 11],0.474263,1.68656,2.57926,false,true,[false false],generated_without_cache_write; generated_without_cache_write,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A3_fixed_SSETarget\WIKI\A3_fixed_SSETarget_WIKI_20260518_105624.mat
WIKI,A4_fixed_woMultiViewFusion,[15 35],25,2,2,2,1,[14 34],[15 35],[191.067 81.8857],[6 11],0.222745,0,1.21806,true,false,[false false],generated_without_cache_write; generated_without_cache_write,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A4_fixed_woMultiViewFusion\WIKI\A4_fixed_woMultiViewFusion_WIKI_20260518_110029.mat
ForestTypes,A1_fixed_woBIC,[17 17 18],17.3333,3,3,3,3,[16 16 17],[17 17 18],[30.7647 30.7647 29.0556],[7 7 7],0,0.819977,0.969492,false,true,[true true true],readonly_existing_cache; readonly_existing_cache; readonly_existing_cache,D:\matlab\3AMVC-BIC\ablation_biclr\res_strict_fixed\A1_fixed_woBIC\ForestTypes\A1_fixed_woBIC_ForestTypes_20260518_105603.mat
