beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,TargetView_mode
1,30000,0.165759466788643,0,0.404795409105883,0,0.206684745319698,0,0.118265979247281,0,0.110566771580455,0,0.127137524980069,0,0.112692370526765,0,7.5772207214958,0,175.3652347,0,36,0,143616928,0,1
1,100000,0.163576959519064,0,0.399661968745832,0,0.202120429967001,0,0.113281354637373,0,0.108217851784081,0,0.118866009401994,0,0.107795011084093,0,7.60622213280984,0,72.0514892,0,36,0,143616928,0,1
1,300000,0.165766001241546,0,0.403730329009512,0,0.203593949096612,0,0.115126930995034,0,0.108250566132102,0,0.123009547048689,0,0.109563098855128,0,7.57262162751382,0,144.0599422,0,36,0,143616928,0,1
3,30000,0.167990982454994,0,0.411752151280117,0,0.211559447185284,0,0.121048902698612,0,0.114675886904834,0,0.128225250873144,0,0.11556616024024,0,7.59263514669627,0,149.3883629,0,28,0,143779760,0,1
3,100000,0.169108373901395,0,0.415662446261189,0,0.214297382951612,0,0.123064607269521,0,0.115650661074333,0,0.131546595712426,0,0.117551316250668,0,7.57764539181006,0,146.9555765,0,28,0,143779760,0,1
3,300000,0.17030091155618,0,0.415794160855702,0,0.215587937399941,0,0.122921425493328,0,0.115558285372945,0,0.131319634724777,0,0.117408685348182,0,7.57760446437228,0,146.7613341,0,28,0,143779760,0,1
10,30000,0.169967654458131,0,0.41380174140336,0,0.219489005782991,0,0.110286660001354,0,0.106863495017567,0,0.113957464537118,0,0.104863080155201,0,7.62329661105643,0,168.6758678,0,51,0,144260176,0,1
10,100000,0.173522396837325,0,0.416190409370176,0,0.222174665926095,0,0.110889410038503,0,0.107844215221184,0,0.114173955435957,0,0.105487774960353,0,7.62892299137048,0,89.0626358,0,51,0,144260176,0,1
10,300000,0.171398699643872,0,0.419334121639112,0,0.221452608880321,0,0.113025073354738,0,0.10961987879471,0,0.1166711079717,0,0.107623095521689,0,7.62289558423408,0,76.9669539,0,51,0,144260176,0,1
30,30000,0.179184500277714,0,0.41885877451126,0,0.233701440846865,0,0.121906498619112,0,0.12641722222934,0,0.117722479389739,0,0.116906517537257,0,7.74925584645036,0,76.5421607,0,51,0,146990880,0,1
30,100000,0.173542000196034,0,0.413052334743645,0,0.228921488548371,0,0.116167812840798,0,0.119994362924677,0,0.112601915226454,0,0.111115438499298,0,7.74348163391666,0,77.6318974,0,51,0,146990880,0,1
30,300000,0.180739700068612,0,0.416494338362488,0,0.235305649034535,0,0.117138092776087,0,0.121842360026902,0,0.112803137245778,0,0.112126992195931,0,7.75314828787847,0,76.7507499,0,51,0,146990880,0,1
